Date,^SSMI,ABBN.SW,NESN.SW,NOVN.SW,CFR.SW,ROG.SW,SREN.SW,SCMN.SW,UBSG.SW,ZURN.SW
3/16/2000,0.0394,0.0427,0.0593,0.0296,0.0433,0.0151,0.0837,0.006,0.0159,0.109
3/17/2000,-0.0043,-0.0311,-0.0174,0.0166,0.0285,-0.0097,0.0029,-0.0074,-0.0085,0.013
3/20/2000,0.0093,0.0353,0.0188,-0.0071,0.0054,-0.0022,0.0181,0.051,0.0097,-0.0104
3/21/2000,0.0138,0.0314,0.0137,0.0294,0.0051,0.01,0.0191,-0.0143,0.0048,0.0384
3/22/2000,0.0166,0.0213,0.0027,0,0.0202,0.0319,0.0051,-0.0101,0.0144,0.0013
3/23/2000,-0.0038,0.0441,-0.0007,-0.0083,0.0471,0.0052,-0.0121,-0.0251,0.013,-0.0177
3/24/2000,0.0108,0.0305,0.0131,0.0129,-0.0019,-0.001,0.001,0.0045,0.0128,0.0326
3/27/2000,-0.01,-0.0066,-0.0114,-0.0147,0.0154,-0.0162,-0.0024,-0.012,-0.0105,-0.0137
3/28/2000,0.0008,0.0208,0.0051,0.0124,0.0207,-0.0116,-0.0108,-0.0015,0.0058,-0.0151
3/29/2000,0.004,-0.0052,-0.0051,0.0032,-0.0067,0.0024,0.0087,0.003,0.0093,0.0226
3/30/2000,-0.0025,0.0052,0.0051,0.0122,-0.0478,-0.0212,-0.0042,-0.0259,-0.0035,-0.0062
3/31/2000,0.0061,-0.0052,0.0034,0.0254,0.0279,-0.0214,0.009,-0.0171,0.0115,0.0464
4/3/2000,0.0127,0.0065,0.0097,0.0157,-0.0179,0.0214,0.0093,-0.0498,0.0136,0.0201
4/4/2000,0.0111,-0.0143,0.0201,0.0172,0.0297,0.0038,0.0267,-0.0318,0.0135,0.0254
4/5/2000,-0.0154,-0.0372,-0.0016,-0.0073,0.0026,-0.0202,0,-0.0034,-0.0225,-0.0289
4/6/2000,-0.0019,0.0027,-0.0049,-0.0034,-0.0061,-0.0028,-0.0233,0.058,-0.0023,-0.0383
4/7/2000,-0.0034,-0.0054,-0.0039,0.0034,0.0094,-0.0036,-0.0186,-0.0032,-0.0011,-0.0259
4/10/2000,-0.0054,-0.0332,-0.0013,-0.0056,0.0023,-0.0047,-0.0077,0.0176,-0.0046,0.0013
4/11/2000,0.0082,0.0236,0.0036,0.0213,-0.0232,0.0028,0.0122,-0.0339,0.0069,0.01
4/12/2000,0.0105,0.0041,0.0108,0.0142,0.0144,0.0083,0.0189,-0.0049,0.0079,0.0184
4/13/2000,0.0041,0.0189,-0.0101,0.0046,-0.0005,-0.0047,-0.0037,0.0147,0.0056,0.0145
4/14/2000,-0.0115,-0.0272,-0.0102,-0.0062,-0.0237,-0.0092,-0.0204,-0.0331,-0.0136,-0.0096
4/17/2000,-0.0222,-0.0069,-0.0087,-0.0063,-0.0341,0,-0.0119,-0.0307,-0.0196,-0.0675
4/18/2000,0.0014,0.0461,-0.005,0.0004,-0.0188,0,-0.0167,0.0138,-0.0012,-0.0289
4/19/2000,0.0019,0.0066,0.0064,-0.0034,0.0113,-0.0028,0.0061,0.0034,-0.0117,-0.008
4/20/2000,0.0023,-0.004,0.0013,0.0038,0.0062,0.0017,-0.0032,0.045,0,0
4/25/2000,0.0084,0.0209,0.0188,0.0169,0.0146,0.0028,0,-0.0433,0.0035,0.0027
4/26/2000,0.0006,0.0052,-0.0043,0.0004,-0.021,0.0105,-0.0011,0.0318,-0.0154,-0.0135
4/27/2000,-0.005,-0.0103,0.0026,-0.0008,0.0196,-0.015,0.0093,-0.0099,-0.0012,-0.0109
4/28/2000,0.0036,0.0065,-0.0033,0.0087,0.0271,0.0089,-0.0175,0.0116,0.0083,0.0055
5/2/2000,0.0133,0.0128,0.0098,0.0136,0.0306,0.005,0.02,0.0098,0.0129,0.0054
5/3/2000,-0.004,-0.0103,-0.0046,-0.0041,-0.0093,-0.0111,-0.0053,0.0049,0.0047,-0.0014
5/4/2000,0.0004,0.0013,0.0072,-0.0132,-0.0146,0.0056,-0.0114,-0.0049,0.0116,-0.0123
5/5/2000,-0.0001,0.0039,0.0081,0,-0.0038,-0.0112,-0.0108,0.0049,0,-0.0041
5/8/2000,0.0029,0,0.0119,0,0.03,0,0.0043,-0.018,-0.0023,0.0151
5/9/2000,0.0098,-0.0051,0.0189,0.0124,-0.0067,0.0117,0.0058,-0.0268,0.0046,0.0095
5/10/2000,-0.001,-0.0208,-0.0013,0.0021,-0.0226,0,-0.0047,-0.0154,0.0023,0.0134
5/11/2000,0.0156,0.045,0.0284,0.0159,0.0024,0.005,0.0373,0.0221,0.0034,0.0211
5/12/2000,0.0039,0.0063,-0.0101,0.0032,0.0012,0.0057,0.0241,0.0117,0,0.0206
5/15/2000,-0.0018,0.01,-0.0077,-0.0069,-0.0155,-0.0117,0.0215,-0.01,0.0125,-0.0013
